char	九	九	QX	QXMX	MIX	275436	jiu
char	乞	乞	QX	QXMX	MIX	3829	qi
char	也	也	ID	IDLD	LR	4217936	ye
char	习	习	CNA	CNAE	ENC	536110	xi
char	习	习	HNA	HNAE	ENC	536110	xi
char	习	习	PNA	PNAL	LR	536110	xi
char	乡	乡	VVE	VVEL	LR	362085	xiang
char	书	书	NDC	NDCL	LR	941253	shu
char	书	书	NDH	NDHL	LR	941253	shu
char	书	书	NDP	NDPL	LR	941253	shu
char	乩	乩	OCL	OCLL	LR	92	ji
char	乩	乩	OHL	OHLL	LR	92	ji
char	乩	乩	OHM	OHML	LR	92	ji
char	乭	乭	ACX	ACXM	MIX	33	shi
char	乭	乭	AHX	AHXM	MIX	33	shi
char	买	买	XOQ	XOQM	MIX	835949	mai
char	乱	乱	ECL	ECLL	LR	153373	luan
char	乱	乱	EHL	EHLL	LR	153373	luan
char	乱	乱	EHM	EHML	LR	153373	luan
char	乳	乳	TDL	TDLU	UD	92306	ru
char	乳	乳	TDM	TDMU	UD	92306	ru
char	乸	乸	IDKON	IDKN	LR	2	na
char	乾	乾	SSQX	SSQX	MIX	12716	qian
char	亁	亁	SSQX	SSQX	MIX	3	gan
char	亂	亂	TTL	TTLU	UD	6	luan
char	亂	亂	TTM	TTMU	UD	6	luan
char	了	了	XX	XXMX	MIX	9492527	le
char	予	予	XNXX	XNXX	MIX	344664	yu
char	争	争	XCD	XCDM	MIX	774760	zheng
char	争	争	XHD	XHDM	MIX	774760	zheng
char	争	争	XPD	XPDM	MIX	774760	zheng
char	亊	亊	SULX	SULX	MIX	33	shi
char	亊	亊	SUMX	SUMX	MIX	33	shi
char	事	事	SLLX	SLLX	MIX	3178515	shi
char	事	事	SMMX	SMMX	MIX	3178515	shi
char	二	二	AA	AAUA	UD	1554124	er
char	亍	亍	AAX	AAXM	MIX	11	chu
char	于	于	AD	ADUD	UD	5574981	yu
char	亏	亏	CAAVC	CAAC	ENC	339777	kui
char	亏	亏	PAAVC	PAAC	LR	339777	kui
char	亐	亐	CCAQC	CCAC	ENC	3	yu
char	亐	亐	PPAQC	PPAC	LR	3	yu
char	云	云	AAN	AANU	UD	488209	yun
char	互	互	AVXA	AVXA	MIX	972332	hu
char	亓	亓	AAL	AALU	UD	384	qi
char	亓	亓	AAM	AAMU	UD	384	qi
char	五	五	ADA	ADAU	UD	742145	wu
char	井	井	GG	GGUG	UD	86576	jing
char	亘	亘	AJA	AJAL	LR	1524	gen
char	亚	亚	AGR	AGRU	UD	904414	ya
char	些	些	OIAA	OIAA	LR	1694188	xie
char	亜	亜	CAMMA	CAMA	ENC	10	ya
char	亜	亜	PALMA	PALA	LR	10	ya
char	亜	亜	PAMMA	PAMA	LR	10	ya
char	亞	亞	ALLA	ALLA	LR	3	ya
char	亞	亞	AMMA	AMMA	LR	3	ya
char	亟	亟	AYA	AYAU	UD	23893	ji
char	亠	亠	CO	COEO	ENC	2	tou
char	亠	亠	PO	POLO	LR	2	tou
char	亡	亡	OV	OVLV	LR	154636	wang
char	亢	亢	OEX	OEXM	MIX	3101	kang
char	亣	亣	OLL	OLLL	LR	11	da
char	亣	亣	OMM	OMML	LR	11	da
char	交	交	ORQ	ORQL	LR	2913351	jiao
char	亥	亥	OVEQ	OVEQ	LR	3883	hai
char	亦	亦	OLXR	OLXR	MIX	120673	yi
