A3EC	65356	ｌ
A3ED	65357	ｍ
A3EE	65358	ｎ
A3EF	65359	ｏ
A3F0	65360	ｐ
A3F1	65361	ｑ
A3F2	65362	ｒ
A3F3	65363	ｓ
A3F4	65364	ｔ
A3F5	65365	ｕ
A3F6	65366	ｖ
A3F7	65367	ｗ
A3F8	65368	ｘ
A3F9	65369	ｙ
A3FA	65370	ｚ
A3FB	65371	｛
A3FC	65372	｜
A3FD	65373	｝
A3FE	65507	￣
A4A1	12353	ぁ
A4A2	12354	あ
A4A3	12355	ぃ
A4A4	12356	い
A4A5	12357	ぅ
A4A6	12358	う
A4A7	12359	ぇ
A4A8	12360	え
A4A9	12361	ぉ
A4AA	12362	お
A4AB	12363	か
A4AC	12364	が
A4AD	12365	き
A4AE	12366	ぎ
A4AF	12367	く
A4B0	12368	ぐ
A4B1	12369	け
A4B2	12370	げ
A4B3	12371	こ
A4B4	12372	ご
A4B5	12373	さ
A4B6	12374	ざ
A4B7	12375	し
A4B8	12376	じ
A4B9	12377	す
A4BA	12378	ず
A4BB	12379	せ
A4BC	12380	ぜ
A4BD	12381	そ
A4BE	12382	ぞ
A4BF	12383	た
A4C0	12384	だ
A4C1	12385	ち
A4C2	12386	ぢ
A4C3	12387	っ
A4C4	12388	つ
A4C5	12389	づ
A4C6	12390	て
A4C7	12391	で
A4C8	12392	と
A4C9	12393	ど
A4CA	12394	な
A4CB	12395	に
A4CC	12396	ぬ
A4CD	12397	ね
A4CE	12398	の
A4CF	12399	は
A4D0	12400	ば
A4D1	12401	ぱ
A4D2	12402	ひ
A4D3	12403	び
A4D4	12404	ぴ
A4D5	12405	ふ
A4D6	12406	ぶ
A4D7	12407	ぷ
A4D8	12408	へ
A4D9	12409	べ
A4DA	12410	ぺ
A4DB	12411	ほ
A4DC	12412	ぼ
A4DD	12413	ぽ
A4DE	12414	ま
A4DF	12415	み
A4E0	12416	む
A4E1	12417	め
A4E2	12418	も
A4E3	12419	ゃ
A4E4	12420	や
A4E5	12421	ゅ
A4E6	12422	ゆ
A4E7	12423	ょ
A4E8	12424	よ
A4E9	12425	ら
A4EA	12426	り
A4EB	12427	る
A4EC	12428	れ
A4ED	12429	ろ
A4EE	12430	ゎ
A4EF	12431	わ
A4F0	12432	ゐ
A4F1	12433	ゑ
A4F2	12434	を
A4F3	12435	ん
A5A1	12449	ァ
A5A2	12450	ア
A5A3	12451	ィ
A5A4	12452	イ
A5A5	12453	ゥ
A5A6	12454	ウ
A5A7	12455	ェ
A5A8	12456	エ
A5A9	12457	ォ
A5AA	12458	オ
A5AB	12459	カ
A5AC	12460	ガ
A5AD	12461	キ
A5AE	12462	ギ
A5AF	12463	ク
A5B0	12464	グ
A5B1	12465	ケ
A5B2	12466	ゲ
A5B3	12467	コ
A5B4	12468	ゴ
A5B5	12469	サ
A5B6	12470	ザ
A5B7	12471	シ
A5B8	12472	ジ
A5B9	12473	ス
A5BA	12474	ズ
A5BB	12475	セ
A5BC	12476	ゼ
A5BD	12477	ソ
A5BE	12478	ゾ
A5BF	12479	タ
A5C0	12480	ダ
A5C1	12481	チ
A5C2	12482	ヂ
A5C3	12483	ッ
A5C4	12484	ツ
A5C5	12485	ヅ
A5C6	12486	テ
A5C7	12487	デ
A5C8	12488	ト
A5C9	12489	ド
A5CA	12490	ナ
A5CB	12491	ニ
A5CC	12492	ヌ
A5CD	12493	ネ
A5CE	12494	ノ
A5CF	12495	ハ
A5D0	12496	バ
A5D1	12497	パ
A5D2	12498	ヒ
A5D3	12499	ビ
A5D4	12500	ピ
A5D5	12501	フ
A5D6	12502	ブ
A5D7	12503	プ
A5D8	12504	ヘ
A5D9	12505	ベ
A5DA	12506	ペ
A5DB	12507	ホ
A5DC	12508	ボ
A5DD	12509	ポ
A5DE	12510	マ
A5DF	12511	ミ
A5E0	12512	ム
A5E1	12513	メ
A5E2	12514	モ
A5E3	12515	ャ
A5E4	12516	ヤ
A5E5	12517	ュ
A5E6	12518	ユ
A5E7	12519	ョ
A5E8	12520	ヨ
A5E9	12521	ラ
A5EA	12522	リ
A5EB	12523	ル
A5EC	12524	レ
A5ED	12525	ロ
A5EE	12526	ヮ
A5EF	12527	ワ
